펫티켓 포스터,"첨부파일
펫티켓01
.jpg
null
파일 다운로드
필요하신분 쓰세요","허수아비2
2023.01.05. 12:30"
함께해요~펫티켓 캠페인!,"안녕하세요? 기승을 부리던 한여름의 무더위도 지나가는 듯 합니다.  처서가 지나니 선선한 바람이 조,석으로 부네여~
폭우피해 입으신 주민들의 한숨 소리가 여전히 귓가를 맴돌지만, 주어진 일에 최선을 다함이 우리들의 몫이 아닌가 싶네여~ 
화산동 행복마을 관리소에서 ""펫티켓"" 캠페인을 기획하여, 진행중에 있습니다. 현제는 홍보전단지를  배부하는 작업을 하고 있고, 월욜 (9월5일) 부터는 설문지, 퀴즈를 통해, 반려견을 위한 간식 및 배변봉투,히네스를  선물로 드리는 알찬 ""펫티켓 캠페인""을 하려 합니다.  반려인을 위한  펫 교양 강좌도 예정에 있구여~ 반려견과 함께 동행하는 견주님들께서는 많은 관심 부탁 드려여~  아울러 화성시 반려가족과 주최 (반려가족 세번째 이야기) 강좌도 안내 합니다
신청기간은 지났지만, 현제도 신청을 받는다 하니, 관심 가져 주세여~^^ 행복한 날들 되시길 바래여~","싱그러운 아침
펫티켓 캠페인도 따로 신청해서 참여하는 건가요?
2022.09.02. 18:05"
초보 견주가 알아야하는 펫티켓 뭐가있을까요?(진도믹스),"진도믹스 이제 2개월이 막지나서
엄청나게 뛰고 흥분하고 물고 박치기하고
난리도 아니예요ㅠㅠ
접종시작하고 나서는 산책도 다녀야하는데
냥집사 13년차... 강아지 키울때 알아야하는
펫티켓 뭐가있을까요?
그리고 진도믹스는 유난히 어려울점이 많다고듣기도하고 찾아보기도해서 대충은 알고있는데
알아야할점은 뭐가 있나요?
잘때는 천사😇 눈뜨면 악마😈","빙수애미
빙수 어릴때랑 많이 닮았네요 ! 저는 일단.. 사람이 먼저다 라는 마인드로 키우고 있어요 ! 아무래도 길엔 애기들도 많고 강아지 무서워하는 사람들이 있으니까요~ 산책할 때 반대방향에서 오는사람한테 길 비켜주기, 사람이나 다른 강아지 보면 목줄 간격 짧게하기 ! 요런거 !! 먼저 산책 매너를 보여주면 진돗개 시비도 잘 안걸리고.. 즐거운 산책할 수 있어요!!
2022.09.14. 14:17"
반려견과의 조화롭고 행복한 공존을 위한 펫티켓 교육 참여자를 모집합니다,"반려견과의 조화롭고 행복한 공존을 위한 펫티켓 교육 참여자를 모집합니다 ^^
일시: 11월 17일, 24일 목요일 오후 1시 30분~3시 / 총 2회기
장소: 정관 분소 2층 (정관읍 정관덕산길 33, 2층)
내용: 반려견 식사 예절 및 펫티켓 교육, 반려견 사회화 교육 등
신청방법: 네이버폼으로 신청↓↓↓↓↓↓
https://naver.me/Fzm9dVKF
문의: 사회복지사 박진아(051-792-4799)",[0]
울산 펫티켓 캠페인 당첨자 발표(7월),"반갑습니다
울산 강아지 카페 매니저입니다^^
울산의 모든 반려견을 키우는 집이 펫티켓을 지키는 그날까지
펫티켓 캠페인은 계속 됩니다.
펫티켓 캠페인 당첨자를 발표하겠습니다.
= 당첨자 발표 =
펫티켓을 잘지켜주신 모든분들 감사합니다!!!
펫티켓 당첨자
콩이팡이맘쪼꼬미, 모찌양시루군
당첨되신분들 축하드립니다.
앞으로도 많은분들이 펫티켓을 지킬 수 있게 모두 펫티켓을 생활화 해주세요^^
당첨되신분들은 이벤트 당첨자 게시판에
성함, 연락처, 주소를 스탭만 보기로 남겨주세요.
※ 이벤트 당첨 후기를 꼭 남겨주세요
※ 이벤트 선물은 착불로 배송됩니다.","우리집 강아지 보리
축하드려요
2022.08.03. 21:01"
울산 펫티켓 캠페인 당첨자 발표,"반갑습니다
울산 강아지 카페 매니저입니다^^
울산의 모든 반려견을 키우는 집이 펫티켓을 지키는 그날까지
펫티켓 캠페인은 계속 됩니다.
펫티켓 캠페인 당첨자를 발표하겠습니다.
= 당첨자 발표 =
펫티켓을 잘지켜주신 모든분들 감사합니다!!!
펫티켓 당첨자
우리집 강아지 보리, 홍시언니
당첨되신분들 축하드립니다.
앞으로도 많은분들이 펫티켓을 지킬 수 있게 모두 펫티켓을 생활화 해주세요^^
당첨되신분들은 이벤트 당첨자 게시판에
성함, 연락처, 주소를 스탭만 보기로 남겨주세요.
※ 이벤트 당첨 후기를 꼭 남겨주세요
※ 이벤트 선물은 착불로 배송됩니다.","디오
축하드립니다
2022.06.08. 20:11"
기억해야 할 5가지 펫티켓 수칙!,"모두가 함께 지켜나가는 반려동물문화
기억해야할 다섯까지 펫티켓수칙!
한번 읽어보시고 반려인도 비반려인도
숙지하시면 많은 도움이될것같아요.","서은마미
펫티켓 5가지 수칙 알아둬야지요
2022.08.31. 10:31"
일산 킨텍스 펫티켓 한장 구해요..ㅜ,"안녕하세요.  펫티켓 한장 구합니다..
가능하시분 부탁드려요~^^","쪼코맘94
광명역 멍멍이츠인데 저희 티켓 많아요ㅠㅠ 열장씩 가져가셔도 될거같아요 ㅋㅋ
2022.11.19. 23:18"
펫티켓좀 지켜주세요,"저희집 마당에  개똥이 ㅜㅜ 아이가 집에 들어 오면서 발견하고 cctv확인했습니다~~  하물며 비오는 어제 큰일을 치고 유유히 가셨더라구요 ㅡㅡ;; 범인 찿느라 한참 걸렸네요~  하얀색 푸들 목줄도 없이 동네를 활보하다 저희집에 들어와 똥싸고 있는데 견주는 그거 한참동안 바라보시다 가시더라구요~
누군지 cctv영상 찿아놓았구요~  앞으로 저희집 근처에서는 마주치지 않길 바랍니다. 남의 집에 주인있는 개가 막 들어오는것도 기분 나쁜데 똥까지 ㅜㅜ그 똥치우는건 저희몫인가요~
본인 개 소중해서 유모차 끌고 다니시던데  그 소중한 개의 똥은 더러우신가봅니다.
개 목줄도 안해 개 똥도 남의집에 싸놓고 안치워 정말 가지가지 하시던데 기본은 지키며 사셨음 합니다. 
해당 견주가 이 글을 꼭 보셨음 좋겠네요~~ 다음부터는 cctv사진 캡쳐본 올리겠습니다~
그리고 물푸레마을 개 키우시는분 많으시던데 제발 펫티켓좀 지켜주셨음 좋겠네요 ㅜㅜ  ","밍쭈니
와 ....말이안나오네요..그냥 공개하세요!!!!!!! 진짜부끄러운줄알아야지
2022.06.16. 22:33"
깔끔한 펫티켓 문화를 위한 필수 산책용품 똥츄 990원,"깔끔한 펫티켓 문화를 위한 필수 산책용품
똥츄(배변봉투 케이스)입니다.
파스텔톤의 색감이 예쁜 케이스로 
가방이나 리드줄에 걸어서 
편하게 사용 가능하세요~
기본 구성품 똥츄케이스 + 리필봉투 1롤 (990원)
추가구성품 리필봉투1롤(200원) 낱개로 구매 가능 하세요~
많이들 구경와주세요~^^
https://smartstore.naver.com/-duki/products/7532017368
두키 강아지 배변봉투 파스텔똥츄 풉백 케이스 리필세트 : 두키
[두키] 두디어 키우는 내 소중한 댕댕이를 위한 쇼핑몰
smartstore.naver.com","thisplus6977
굿~~~
2022.12.06. 17:18"
펫티켓문화 행사 선착순접수,"안녕하세요^^
평내동 주민자치회에서는
제3회 평내동주민총회에서 상정된 안건
펫티켓을 실행합니다
9월2일(금)오후 2시에 평내1공원에서 
반려견가족 40명을 모시고
원조개통령 이웅종씨와 
애견바른산책문화만들기  행사를 진행합니다
반려견 가족 40명을 선착순으로 신청받습니다^^","이웃집토토로84
우왕 어디서 신청할수있는거에요?😲
아~문의번호있네요ㅎㅎ
2022.08.18. 20:10"
[공약봉사_6회차]펫티켓 문화정착을 위한 홍보활동,"입주민 여러분 안녕하십니까? 입대의 회장 공정국 입니다.
지난 달 봉사 시 많은 입주민들께서 반려견과 함께 산책하는 모습을 보면서, 반려견 관련 봉사를 고민하였습니다. 그리고, 몇일 전 모빌에 반려견 관련 글도 보고, 오늘 아침 출근 시 저희 동 입구에 분변도 보았습니다. 분변은 저희 아파트 입주민이 아니라 믿겠습니다. 지나가던 주변 동네분이 그러셨을 거라 생각 하겠습니다.
그래서, 이 번 봉사는 펫티켓을 잘 지켜주시는 저희 단지 반려견 가족을 위해 준비하였으니, 산책 시 잠시 참여하여 주시기 바랍니다.
1. 일시 : '22.5.14.(토), 12시 20분~13시40분
2. 장소 : 멀티룸
3. 참여방법 : 반려견 가족 중 펫티켓(목줄, 배변봉투, 입마개 등) 준수하여, 반려견과 산책하시는 입주민께 소정의 반려견 용품 및 펫티켓 전단지 지급. 단, 선착순 50 분 한정
준비한 용품이 많지는 않지만, 펫티켓은 많은 준수 부탁드립니다.","이현규115동702호
응원 드립니다 ᆢ화이팅 하세요ᆢ^^
2022.05.13. 14:34"
