관리번호,위도,경도
가양대교남단_상-34,37.568806,126.860782
가양대교남단_상-35,37.569011,126.860934
가양대교남단_상-36,37.569232,126.861098
가양대교남단_상-37,37.569423,126.86124
가양대교남단_상-38,37.569644,126.861403
가양대교남단_상-39,37.569851,126.861557
가양대교남단_상-500,37.562968,126.863651
가양대교남단_상-501,37.563086,126.863462
가양대교남단_상-502,37.563229,126.863236
가양대교남단_상-503,37.563357,126.863035
가양대교남단_상-504,37.563497,126.862813
가양대교남단_상-505,37.563641,126.862584
가양대교남단_상-506,37.563778,126.862368
가양대교남단_상-507,37.563913,126.862151
가양대교남단_상-508,37.564054,126.861929
가양대교남단_상-509,37.564191,126.861728
가양대교남단_상-510,37.564378,126.861519
가양대교남단_상-511,37.564584,126.861352
가양대교남단_상-512,37.564783,126.861169
가양대교남단_상-513,37.564968,126.860974
가양대교남단_상-514,37.565134,126.860759
가양대교남단_상-515,37.565288,126.860533
가양대교남단_상-516,37.565449,126.860283
가양대교남단_상-517,37.565605,126.860057
가양대교남단_상-518,37.565791,126.859866
가양대교남단_상-519,37.566009,126.85969
가양대교남단_상-520,37.566217,126.859535
가양대교남단_상-521,37.566415,126.859415
가양대교남단_상-522,37.566622,126.859366
가양대교남단_하-001,37.566883,126.858814
가양대교남단_하-002,37.566842,126.858594
가양대교남단_하-003,37.566787,126.858363
가양대교남단_하-004,37.566838,126.858125
가양대교남단_하-005,37.566892,126.85787
가양대교남단_하-006,37.567016,126.857673
가양대교남단_하-007,37.567101,126.85743
가양대교남단_하-008,37.567218,126.857242
가양대교남단_하-009,37.567306,126.856989
가양대교남단_하-010,37.56742,126.856775
가양대교남단_하-011,37.567463,126.856542
가양대교남단_하-012,37.567526,126.856415
가양대교남단_하-013,37.567552,126.856165
가양대교남단_하-014,37.567629,126.855938
가양대교남단_하-015,37.567666,126.855701
가양대교남단_하-016,37.567763,126.855517
가양대교남단_하-017,37.567837,126.855299
가양대교남단_하-018,37.567965,126.855115
가양대교남단_하-019,37.568053,126.854904
가양대교남단_하-020,37.568179,126.854727
가양대교남단_하-021,37.568272,126.854512
가양대교남단_하-022,37.568412,126.854307
가양대교남단_하-023,37.568517,126.854065
가양대교남단_하-024,37.56867,126.853845
가양대교남단_하-086,37.569995,126.861282
가양대교남단_하-087,37.569772,126.861163
가양대교남단_하-088,37.569636,126.861015
가양대교남단_하-089,37.569393,126.860882
가양대교남단_하-090,37.569212,126.860703
가양대교남단_하-091,37.56898,126.860576
가양대교남단_하-092,37.568775,126.860379
가양대교남단_하-093,37.568519,126.860235
가양대교남단_하-094,37.568313,126.860039
가양대교남단_하-095,37.568069,126.859895
가양대교남단_하-096,37.567886,126.85969
가양대교남단_하-097,37.567632,126.859527
가양대교남단_하-098,37.567429,126.859328
가양대교남단_하-099,37.567189,126.859192
가양대교남단_하-100,37.566956,126.859081
가양대교남단_하-101,37.566756,126.858975
가양대교남단_하-102,37.566567,126.858796
가양대교남단_하-103,37.566346,126.85867
가양대교남단_하-104,37.566046,126.858409
가양대교남단_하-105,37.565871,126.858318
가양대교남단_하-106,37.565701,126.858154
가양대교남단_하-107,37.565512,126.858053
가양대교남단_하-108,37.565299,126.857856
가양대교남단_하-109,37.565118,126.857766
가양대교남단_하-110,37.564962,126.857611
가양대교남단_하-111,37.564766,126.857508
가양대교남단_하-112,37.564611,126.857357
가양대교남단_하-113,37.564425,126.85726
가양대교남단_하-114,37.564246,126.857089
가양대교남단_하-115,37.56404,126.856983
가양대교남단_하-116,37.563872,126.856817
가양대교남단_하-117,37.563652,126.856698
가양대교남단_하-118,37.56343,126.8565
가양대교남단_하-119,37.56324,126.856403
가양대교남단_하-120,37.563099,126.856263
가양대교남단_하-121,37.562978,126.856213
가양대교남단_하-122,37.562867,126.856097
가양대교남단_하-123,37.562713,126.856031
가양대교남단_하-124,37.5623,126.855735
가양대교남단경관_상-01,37.567105,126.859448
가양대교남단경관_상-02,37.56721,126.859517
가양대교남단경관_상-03,37.56731,126.859598
가양대교남단경관_상-05,37.567518,126.859757
가양대교남단경관_상-06,37.567638,126.859841
가양대교남단경관_상-07,37.567755,126.859928
가양대교남단경관_하-01,37.567112,126.859241
가양대교남단경관_하-02,37.56722,126.859326
가양대교남단경관_하-03,37.567319,126.859403
가양대교남단경관_하-05,37.567529,126.859562
가양대교남단경관_하-06,37.567649,126.859646
가양대교남단경관_하-07,37.567774,126.859746
가양대교램프_01-01,37.56406,126.857271
가양대교램프_01-02,37.564214,126.857561
가양대교램프_01-03,37.56433,126.857919
가양대교램프_01-04,37.564373,126.858265
가양대교램프_01-05,37.564413,126.858609
가양대교램프_01-06,37.564442,126.859015
가양대교램프_01-07,37.564454,126.859402
가양대교램프_01-08,37.564386,126.859696
가양대교램프_01-09,37.564347,126.860016
가양대교램프_01-10,37.564301,126.860294
가양대교램프_01-100,37.566959,126.857561
가양대교램프_01-101,37.566932,126.857238
가양대교램프_01-102,37.566802,126.856995
가양대교램프_01-103,37.566604,126.856821
가양대교램프_01-104,37.566352,126.856795
가양대교램프_01-105,37.566116,126.856914
가양대교램프_01-106,37.565954,126.857115
가양대교램프_01-107,37.56582,126.857364
가양대교램프_01-108,37.565683,126.857602
가양대교램프_01-109,37.565535,126.857854
가양대교램프_01-11,37.564372,126.860593
가양대교램프_01-110,37.5653,126.858251
가양대교램프_01-111,37.565159,126.858494
가양대교램프_01-112,37.565018,126.85874
가양대교램프_01-113,37.564877,126.858998
가양대교램프_01-114,37.56471,126.8593
가양대교램프_01-115,37.564562,126.859603
가양대교램프_01-116,37.564454,126.859893
가양대교램프_01-117,37.564256,126.860397
가양대교램프_01-118,37.566071,126.856855
가양대교램프_01-119,37.565918,126.857041
가양대교램프_01-12,37.564528,126.860782
가양대교램프_01-120,37.565772,126.857293
가양대교램프_01-121,37.565623,126.857534
가양대교램프_01-122,37.565475,126.857806
가양대교램프_01-123,37.565254,126.85818
가양대교램프_01-124,37.565125,126.858411
가양대교램프_01-125,37.564977,126.85866
가양대교램프_01-126,37.564821,126.858936
가양대교램프_01-127,37.564749,126.859191
가양대교램프_01-128,37.564792,126.859587
가양대교램프_01-129,37.564924,126.859848
가양대교램프_01-13,37.564747,126.86085
가양대교램프_01-130,37.565141,126.859992
가양대교램프_01-131,37.565344,126.860028
가양대교램프_01-132,37.566939,126.858979
가양대교램프_01-133,37.566849,126.858825
가양대교램프_01-134,37.566778,126.858565
가양대교램프_01-135,37.566762,126.858275
가양대교램프_01-136,37.566808,126.858017
가양대교램프_01-137,37.566909,126.857747
가양대교램프_01-138,37.567025,126.857483
가양대교램프_01-139,37.567148,126.857237
가양대교램프_01-14,37.564969,126.86079
가양대교램프_01-140,37.567261,126.856988
가양대교램프_01-141,37.567364,126.856734
가양대교램프_01-142,37.567456,126.856411
가양대교램프_01-143,37.567521,126.856079
가양대교램프_01-144,37.567613,126.855762
가양대교램프_01-145,37.567724,126.855471
가양대교램프_01-146,37.567823,126.855237
가양대교램프_01-147,37.56795,126.855036
가양대교램프_01-148,37.568041,126.854846
가양대교램프_01-149,37.56815,126.854647
가양대교램프_01-15,37.565143,126.860577
가양대교램프_01-150,37.568248,126.85446
가양대교램프_01-151,37.568371,126.854247
가양대교램프_01-152,37.568474,126.854028
가양대교램프_01-153,37.568605,126.853829
가양대교램프_01-154,37.56872,126.853586
가양대교램프_01-155,37.568844,126.853384
가양대교램프_01-156,37.568333,126.853602
가양대교램프_01-157,37.568198,126.853848
가양대교램프_01-158,37.568024,126.85412
가양대교램프_01-159,37.567857,126.854399
가양대교램프_01-16,37.565289,126.860322
가양대교램프_01-160,37.56769,126.854681
가양대교램프_01-161,37.567542,126.854939
가양대교램프_01-162,37.567372,126.855211
가양대교램프_01-163,37.567186,126.855461
가양대교램프_01-164,37.567019,126.85571
가양대교램프_01-165,37.566849,126.855959
가양대교램프_01-166,37.566677,126.85622
가양대교램프_01-167,37.566484,126.856469
가양대교램프_01-168,37.566221,126.856653
가양대교램프_01-169,37.566014,126.856757
가양대교램프_01-17,37.565446,126.860049
가양대교램프_01-170,37.565769,126.856846
가양대교램프_01-171,37.565531,126.856909
가양대교램프_01-172,37.565267,126.856966
가양대교램프_01-173,37.565026,126.857022
가양대교램프_01-174,37.564765,126.857076
가양대교램프_01-175,37.564478,126.857053
가양대교램프_01-176,37.564216,126.856914
가양대교램프_01-177,37.563987,126.856752
가양대교램프_01-178,37.563756,126.856572
가양대교램프_01-18,37.565604,126.859794
가양대교램프_01-19,37.565776,126.859492
가양대교램프_01-20,37.565946,126.859174
가양대교램프_01-21,37.566084,126.85884
가양대교램프_01-22,37.566211,126.85841
가양대교램프_01-23,37.566294,126.858099
가양대교램프_01-24,37.566376,126.857806
가양대교램프_01-25,37.566494,126.857545
가양대교램프_01-26,37.566602,126.857316
가양대교램프_01-27,37.566722,126.85713
가양대교램프_01-28,37.566856,126.856901
가양대교램프_01-29,37.566984,126.85667
가양대교램프_01-30,37.567125,126.856427
가양대교램프_01-31,37.567259,126.856187
가양대교램프_01-32,37.5674,126.855973
가양대교램프_01-33,37.567544,126.855745
가양대교램프_01-34,37.563574,126.856931
가양대교램프_01-35,37.563812,126.857153
가양대교램프_01-36,37.564034,126.857437
가양대교램프_01-37,37.56414,126.857691
가양대교램프_01-38,37.564214,126.858017
가양대교램프_01-39,37.564249,126.858325
가양대교램프_01-40,37.564292,126.858665
가양대교램프_01-41,37.564323,126.859044
가양대교램프_01-42,37.56431,126.859447
가양대교램프_01-43,37.564284,126.859794
가양대교램프_01-44,37.564209,126.86014
가양대교램프_01-45,37.564127,126.860481
가양대교램프_01-46,37.563977,126.860786
가양대교램프_01-47,37.563854,126.861074
가양대교램프_01-48,37.563701,126.86134
가양대교램프_01-49,37.563551,126.861587
가양대교램프_01-50,37.563405,126.861847
가양대교램프_01-51,37.56328,126.862067
가양대교램프_01-52,37.563158,126.862336
가양대교램프_01-53,37.56305,126.862562
가양대교램프_01-54,37.562923,126.862778
가양대교램프_01-55,37.562803,126.862986
가양대교램프_01-56,37.562699,126.863169
가양대교램프_01-57,37.562579,126.86338
가양대교램프_01-58,37.564159,126.861618
가양대교램프_01-59,37.564298,126.861384
가양대교램프_01-60,37.564432,126.861158
가양대교램프_01-61,37.564561,126.860933
가양대교램프_01-62,37.564686,126.860723
가양대교램프_01-63,37.564815,126.860509
가양대교램프_01-64,37.564935,126.860293
가양대교램프_01-65,37.565072,126.860073
가양대교램프_01-66,37.565212,126.85983
가양대교램프_01-67,37.565364,126.859581
가양대교램프_01-68,37.565532,126.859303
가양대교램프_01-69,37.565691,126.859021
가양대교램프_01-70,37.565856,126.858745
가양대교램프_01-71,37.565748,126.857096
가양대교램프_01-72,37.565498,126.857076
가양대교램프_01-73,37.565251,126.857124
가양대교램프_01-74,37.564999,126.857172
가양대교램프_01-75,37.564768,126.85719
가양대교램프_01-76,37.562879,126.863611
가양대교램프_01-77,37.563024,126.8634
가양대교램프_01-78,37.56316,126.863185
가양대교램프_01-79,37.563302,126.862972
가양대교램프_01-80,37.563433,126.862753
가양대교램프_01-81,37.563572,126.862536
가양대교램프_01-82,37.563718,126.862314
가양대교램프_01-83,37.563847,126.86213
가양대교램프_01-84,37.564007,126.861863
가양대교램프_01-85,37.56413,126.861697
가양대교램프_01-86,37.564344,126.861463
가양대교램프_01-87,37.564572,126.861264
가양대교램프_01-88,37.564751,126.861095
가양대교램프_01-89,37.564932,126.860908
가양대교램프_01-90,37.565107,126.8607
가양대교램프_01-91,37.565256,126.860481
가양대교램프_01-92,37.565399,126.860241
가양대교램프_01-93,37.565538,126.860045
가양대교램프_01-94,37.565773,126.859788
가양대교램프_01-95,37.565939,126.85966
가양대교램프_01-96,37.56613,126.859517
가양대교램프_01-97,37.566338,126.859387
가양대교램프_01-98,37.566542,126.859311
가양대교램프_01-99,37.566742,126.859313
가양대교북단_상-01,37.573877,126.864774
가양대교북단_상-02,37.573933,126.865026
가양대교북단_상-03,37.573942,126.865258
가양대교북단_상-04,37.573899,126.865508
가양대교북단_상-05,37.57383,126.865707
가양대교북단_상-06,37.573753,126.865943
가양대교북단_상-07,37.573671,126.866191
가양대교북단_상-08,37.573588,126.866433
가양대교북단_상-09,37.573501,126.866698
가양대교북단_상-10,37.573411,126.866971
가양대교북단_상-11,37.573327,126.867229
가양대교북단_상-12,37.573228,126.867528
가양대교북단_상-13,37.573145,126.867774
가양대교북단_상-14,37.573058,126.868038
가양대교북단_상-15,37.573871,126.865799
가양대교북단_상-16,37.573798,126.866144
가양대교북단_상-17,37.573826,126.866477
가양대교북단_상-18,37.574004,126.866747
가양대교북단_상-19,37.574237,126.86684
가양대교북단_상-20,37.574488,126.866761
가양대교북단_상-21,37.574701,126.866487
가양대교북단_상-22,37.574888,126.866163
가양대교북단_상-23,37.575075,126.865841
가양대교북단_상-24,37.575259,126.865518
가양대교북단_상-25,37.575448,126.865189
가양대교북단_상-40,37.570032,126.861691
가양대교북단_상-41,37.570321,126.861907
가양대교북단_상-42,37.570587,126.862103
가양대교북단_상-43,37.570872,126.862313
가양대교북단_상-44,37.571126,126.862502
가양대교북단_상-45,37.571373,126.862686
가양대교북단_상-46,37.571651,126.86289
가양대교북단_상-47,37.571942,126.863106
가양대교북단_상-48,37.572216,126.863311
가양대교북단_상-49,37.572478,126.863504
가양대교북단_상-50,37.572734,126.863704
가양대교북단_상-51,37.572994,126.863926
가양대교북단_상-52,37.573224,126.864098
가양대교북단_상-53,37.573502,126.864306
가양대교북단_상-54,37.574018,126.864582
가양대교북단_상-55,37.574308,126.864797
가양대교북단_상-56,37.57458,126.864998
가양대교북단_상-57,37.574849,126.865202
가양대교북단_상-58,37.575117,126.865405
가양대교북단_상-59,37.575404,126.865638
가양대교북단_상-60,37.575658,126.865867
가양대교북단_상-61,37.575898,126.8661
가양대교북단_상-62,37.576124,126.866334
가양대교북단_하-01,37.575192,126.865821
가양대교북단_하-02,37.575329,126.865582
가양대교북단_하-03,37.575494,126.865295
가양대교북단_하-04,37.575652,126.865023
가양대교북단_하-05,37.574639,126.863992
가양대교북단_하-06,37.574777,126.863887
가양대교북단_하-07,37.574891,126.863761
가양대교북단_하-08,37.574993,126.863637
가양대교북단_하-09,37.575848,126.864634
가양대교북단_하-10,37.57567,126.86494
가양대교북단_하-11,37.575477,126.865276
가양대교북단_하-12,37.575291,126.865597
가양대교북단_하-13,37.575116,126.865898
가양대교북단_하-14,37.574933,126.866217
가양대교북단_하-15,37.574759,126.866518
가양대교북단_하-16,37.574589,126.866812
가양대교북단_하-17,37.576104,126.862278
가양대교북단_하-18,37.576218,126.862138
가양대교북단_하-500,37.575989,126.862422
가양대교북단_하-501,37.575868,126.862566
가양대교북단_하-502,37.575744,126.86272
가양대교북단_하-503,37.57561,126.862883
가양대교북단_하-504,37.575479,126.863045
가양대교북단_하-505,37.575357,126.863193
가양대교북단_하-506,37.575232,126.863345
가양대교북단_하-507,37.575111,126.863494
가양대교북단_하-508,37.5745,126.864074
가양대교북단_하-509,37.575647,126.863348
가양대교북단_하-511,37.574351,126.864126
가양대교북단_하-512,37.575403,126.863464
가양대교북단_하-514,37.574203,126.864142
가양대교북단_하-515,37.575197,126.863623
가양대교북단_하-517,37.574061,126.864135
가양대교북단_하-518,37.57497,126.863797
가양대교북단_하-520,37.576021,126.864334
가양대교북단_하-521,37.576145,126.864006
가양대교북단_하-522,37.576097,126.86365
가양대교북단_하-523,37.575911,126.864576
가양대교북단_하-525,37.575898,126.863405
가양대교북단_하-526,37.575786,126.864789
가양대교북단_하-63,37.576238,126.866161
가양대교북단_하-64,37.576036,126.865949
가양대교북단_하-65,37.57579,126.8657
가양대교북단_하-66,37.575545,126.865483
가양대교북단_하-67,37.575251,126.86524
가양대교북단_하-68,37.574964,126.865023
가양대교북단_하-69,37.574686,126.864816
가양대교북단_하-70,37.574402,126.864608
가양대교북단_하-71,37.574149,126.864421
가양대교북단_하-72,37.573696,126.863971
가양대교북단_하-73,37.573405,126.863762
가양대교북단_하-74,37.573173,126.86359
가양대교북단_하-75,37.572933,126.863434
가양대교북단_하-76,37.572648,126.863242
가양대교북단_하-77,37.572357,126.86303
가양대교북단_하-78,37.572109,126.862845
가양대교북단_하-79,37.57183,126.862639
가양대교북단_하-80,37.571562,126.862442
가양대교북단_하-81,37.571274,126.862234
가양대교북단_하-82,37.571013,126.862037
가양대교북단_하-83,37.57073,126.861827
가양대교북단_하-84,37.570493,126.861655
가양대교북단_하-85,37.570194,126.861429
가양대교북단경관_상-01,37.573743,126.864351
가양대교북단경관_상-02,37.573627,126.864261
가양대교북단경관_상-03,37.573493,126.864164
가양대교북단경관_상-05,37.573225,126.863965
가양대교북단경관_상-06,37.573104,126.863881
가양대교북단경관_상-07,37.572962,126.86377
가양대교북단경관_하-01,37.573765,126.86412
가양대교북단경관_하-02,37.57364,126.86403
가양대교북단경관_하-03,37.573507,126.863931
가양대교북단경관_하-05,37.573236,126.863736
가양대교북단경관_하-06,37.573107,126.863646
가양대교북단경관_하-07,37.572971,126.863552
강남터미널고가-01,37.503343,127.002446
강남터미널고가-02,37.503636,127.002209
강남터미널고가-03,37.50393,127.00196
강남터미널고가-04,37.50427,127.001678
강남터미널고가-05,37.504591,127.00142
강남터미널고가-06,37.504936,127.001166
강남터미널고가-07,37.505315,127.00096
강남터미널고가-08,37.505711,127.000766
강남터미널고가-09,37.506085,127.000599
강남터미널고가-10,37.506477,127.000422
강남터미널고가-11,37.506877,127.000253
강남터미널고가-12,37.507258,127.000089
강남터미널고가-13,37.507035,127.000011
강남터미널고가-14,37.506637,127.00018
강남터미널고가-15,37.506255,127.000363
강남터미널고가-16,37.505885,127.000523
강남터미널고가-17,37.505473,127.00071
강남터미널고가-18,37.505078,127.000902
강남터미널고가-19,37.504709,127.001134
강남터미널고가-20,37.504358,127.001417
강남터미널고가-21,37.504025,127.001689
강남터미널고가-22,37.503717,127.001946
강남터미널고가-23,37.503415,127.002213
개봉고가차도-01,37.492512,126.856076
개봉고가차도-02,37.492793,126.85611
개봉고가차도-03,37.493059,126.856131
개봉고가차도-04,37.493328,126.856164
개봉고가차도-05,37.493571,126.856191
개봉고가차도-06,37.493819,126.856216
개봉고가차도-07,37.494081,126.856239
개봉고가차도-08,37.494315,126.856261
개봉고가차도-09,37.49455,126.856287
개봉고가차도-10,37.494824,126.856319
개봉고가차도-11,37.495097,126.856343
개봉고가차도-12,37.49538,126.856369
개봉고가차도-13,37.495659,126.8564
개봉고가차도-14,37.495934,126.856429
개봉고가차도-15,37.496219,126.856458
개봉고가차도-16,37.4965,126.856483
개봉고가차도-17,37.496366,126.8563
개봉고가차도-18,37.496101,126.856278
개봉고가차도-19,37.495837,126.856249
개봉고가차도-20,37.495568,126.856219
개봉고가차도-21,37.495282,126.856194
개봉고가차도-22,37.495007,126.856157
개봉고가차도-23,37.494738,126.856134
개봉고가차도-24,37.494472,126.856107
개봉고가차도-25,37.494212,126.856082
개봉고가차도-26,37.493956,126.856053
개봉고가차도-27,37.493711,126.85603
개봉고가차도-28,37.493474,126.856007
개봉고가차도-29,37.49323,126.855985
개봉고가차도-30,37.492943,126.85595
개봉고가차도-31,37.492659,126.855927
개봉고가차도-32,37.492381,126.8559
개화지하차도-01,37.566256,126.805747
개화지하차도-02,37.566558,126.805645
개화지하차도-03,37.566869,126.805541
개화지하차도-04,37.567198,126.805442
개화지하차도-05,37.568365,126.805033
개화지하차도-06,37.568698,126.804915
개화지하차도-07,37.569033,126.804802
개화지하차도-08,37.569368,126.804682
개화지하차도-09,37.569499,126.804431
개화지하차도-10,37.569133,126.804541
개화지하차도-11,37.568794,126.80467
개화지하차도-12,37.568458,126.804782
개화지하차도-13,37.567336,126.805172
개화지하차도-14,37.56699,126.805282
개화지하차도-15,37.566654,126.805403
개화지하차도-16,37.566354,126.805493
겸재교1-01,37.585726,127.071579
겸재교1-02,37.585568,127.071684
겸재교1-03,37.58543,127.071795
겸재교1-04,37.585255,127.071938
겸재교1-05,37.58511,127.072061
겸재교1-06,37.585088,127.072139
겸재교1-07,37.585119,127.072361
겸재교1-08,37.585156,127.072594
겸재교1-09,37.585193,127.072813
겸재교1-10,37.58523,127.073055
겸재교1-11,37.585267,127.073265
겸재교1-12,37.585299,127.073473
겸재교1-13,37.585326,127.073646
겸재교1-14,37.585362,127.073866
겸재교1-15,37.585146,127.073986
겸재교1-16,37.585111,127.073776
겸재교1-17,37.585074,127.073568
겸재교1-18,37.58503,127.073361
겸재교1-19,37.584996,127.073163
겸재교1-20,37.584952,127.072912
겸재교1-21,37.584915,127.072717
겸재교1-22,37.584878,127.072485
겸재교1-23,37.584775,127.072318
겸재교1-24,37.584657,127.072432
겸재교1-25,37.584504,127.072556
겸재교1-26,37.584344,127.072673
겸재교1-27,37.584201,127.072791
겸재교1-28,37.584909,127.07186
겸재교1-29,37.584894,127.071773
겸재교1-30,37.584872,127.071686
겸재교1-31,37.584855,127.0716
겸재교1-32,37.584835,127.071516
겸재교1-33,37.584818,127.07143
겸재교1-34,37.584798,127.071334
겸재교1-35,37.584783,127.071259
겸재교1-36,37.584764,127.071182
겸재교1-37,37.584645,127.071207
겸재교1-38,37.584663,127.071278
겸재교1-39,37.584676,127.071365
겸재교1-40,37.584699,127.07145
겸재교1-41,37.584716,127.071537
겸재교1-42,37.584736,127.071628
겸재교1-43,37.584751,127.071698
겸재교1-44,37.584771,127.071791
겸재교1-45,37.584798,127.071885
겸재교2-01,37.585679,127.07509
겸재교2-02,37.585618,127.074859
겸재교2-03,37.585548,127.07462
겸재교2-04,37.585492,127.07437
겸재교2-05,37.58543,127.074139
겸재교2-06,37.585234,127.074279
겸재교2-07,37.5853,127.07451
겸재교2-08,37.585354,127.074721
겸재교2-09,37.585411,127.074946
겸재교2-10,37.585493,127.075255
겸재교2-11,37.585611,127.075451
겸재교2-12,37.585634,127.07553
겸재교2-13,37.585644,127.075598
겸재교2-14,37.585656,127.075664
겸재교2-15,37.585667,127.07573
겸재교2-16,37.585677,127.075795
겸재교2-17,37.585685,127.075858
겸재교2-18,37.585699,127.075916
겸재교2-19,37.585787,127.075874
겸재교2-20,37.585772,127.075825
겸재교2-21,37.585763,127.075764
겸재교2-22,37.585749,127.075694
겸재교2-23,37.585736,127.075623
겸재교2-24,37.585718,127.075546
겸재교2-25,37.585705,127.075491
겸재교2-26,37.585692,127.075433
겸재교경관조명-01,37.585037,127.072479
겸재교경관조명-02,37.585062,127.072615
겸재교경관조명-03,37.585083,127.072753
겸재교경관조명-04,37.585108,127.072894
겸재교경관조명-05,37.585131,127.07304
겸재교경관조명-06,37.585157,127.073191
겸재교경관조명-07,37.585178,127.073327
겸재교경관조명-08,37.585199,127.073465
겸재교경관조명-09,37.585224,127.073587
겸재교경관조명-10,37.585248,127.073732
겸재교경관조명-11,37.58527,127.073857
겸재교경관조명-12,37.585302,127.073989
겸재교경관조명-13,37.585343,127.074157
겸재교경관조명-14,37.585394,127.07433
겸재교경관조명-15,37.585425,127.07447
겸재교경관조명-16,37.585461,127.0746
겸재교경관조명-17,37.585494,127.074712
겸재교경관조명-18,37.585527,127.074838
겸재교경관조명-19,37.585566,127.074988
겸재교경관조명-20,37.585505,127.075032
겸재교경관조명-21,37.585466,127.074885
겸재교경관조명-22,37.585427,127.074743
겸재교경관조명-23,37.585394,127.074623
겸재교경관조명-24,37.585363,127.074476
겸재교경관조명-25,37.585322,127.074351
겸재교경관조명-26,37.585291,127.074194
겸재교경관조명-27,37.58523,127.073991
겸재교경관조명-28,37.585194,127.073872
겸재교경관조명-29,37.585174,127.073742
겸재교경관조명-30,37.585147,127.073601
겸재교경관조명-31,37.585125,127.073469
겸재교경관조명-32,37.585104,127.073358
겸재교경관조명-33,37.585081,127.073209
겸재교경관조명-34,37.585055,127.073057
겸재교경관조명-35,37.585029,127.072916
겸재교경관조명-36,37.585003,127.072786
겸재교경관조명-37,37.58498,127.07264
겸재교경관조명-38,37.58496,127.072524
고척2지하차도-01,37.501568,126.869548
고척2지하차도-02,37.501407,126.869477
고척2지하차도-03,37.501247,126.869412
고척2지하차도-04,37.501096,126.869353
고척2지하차도-05,37.500927,126.869283
고척2지하차도-06,37.500744,126.869196
고척2지하차도-07,37.500521,126.869312
고척2지하차도-08,37.500699,126.869385
고척2지하차도-09,37.500879,126.869467
고척2지하차도-10,37.501047,126.869539
고척2지하차도-11,37.501215,126.869611
고척2지하차도-12,37.501372,126.869677
고척2지하차도-13,37.501528,126.869738
