,품종_영문,분류,품종_국문
90,Norwich Terrier,terrier group,노리치 테리어
91,Parson Russell Terrier,terrier group,파슨 러셀 테리어
92,Rat Terrier,terrier group,렛 테리어
93,Russell Terrier,terrier group,잭 러셀 테리어
94,Scottish Terrier,terrier group,스코티시 테리어
95,Sealyham Terrier,terrier group,실리엄 테리어
96,Skye Terrier,terrier group,스카이 테리어
97,Smooth Fox Terrier,terrier group,스무스 폭스 테리어
98,Soft Coated Wheaten Terrier,terrier group,소프트 코티드 휘튼 테리어
99,Staffordshire Bull Terrier,larger terrier group,스태퍼드셔 불 테리어
100,Welsh Terrier,terrier group,웰시 테리어
101,West Highland White Terrier,terrier group,웨스트 하이랜드 화이트 테리어
102,Wire Fox Terrier,terrier group,와이어 폭스 테리어
103,Affenpinscher,toy group,아펜핀셔
104,Biewer Terrier,toy group,뷰어 테리어
105,Brussels Griffon,toy group,브뤼셀 그리펀
106,Cavalier King Charles Spaniel,toy group,카바리에 킹 찰스 스파니엘
107,Chihuahua,toy group,치와와
108,Chinese Crested,toy group,차이니스 크레스티드
109,English Toy Spaniel,toy group,잉글리시 토이 스패니얼
110,Havanese,toy group,허배너스
111,Italian Greyhound,toy group,이탈리안 그레이하운드
112,Japanese Chin,toy group,재퍼니스 친
113,Maltese,toy group,몰티즈
114,Manchester Terrier (Toy),toy group,토이 멘체스터 테리어
115,Miniature Pinscher,toy group,미니어처 핀셔
116,Papillon,toy group,파피용
117,Pekingese,toy group,페키니즈
118,Pomeranian,toy group,포메라니안
119,Poodle (Toy),toy group,토이 푸들
120,Pug,toy group,퍼그
121,Russian Toy,toy group,러시안 토이
122,Shih Tzu,toy group,시츄
123,Silky Terrier,toy group,실키 테리어
124,Toy Fox Terrier,toy group,토이 폭스 테리어
125,Yorkshire Terrier,toy group,요크셔 테리어
126,American Eskimo Dog,non-sporting group,아메리칸 에스키모 도그
127,Bichon Frise,non-sporting group,비숑 프리제
128,Boston Terrier,non-sporting group,보스턴 테리어
129,Bulldog,non-sporting group,불독
130,Chinese Shar-Pei,non-sporting group,차이니스 샤페이
131,Chow Chow,non-sporting group,차우차우
132,Coton de Tulear,non-sporting group,꼬동 드 툴레아
133,Dalmatian,dalmatian,달마티안
134,Finnish Spitz,non-sporting group,피니시 스피츠
135,French Bulldog,non-sporting group,프렌치 불도그
136,Keeshond,non-sporting group,케이스혼트
137,Lhasa Apso,non-sporting group,라사압소
138,Löwchen,non-sporting group,로첸
139,Norwegian Lundehund,non-sporting group,노르웨지언 룬드훈트
140,Poodle (Miniature),non-sporting group,미니어처 푸들
141,Poodle (Standard),non-sporting group,스탠더드 푸들
142,Schipperke,schipperke,스키퍼키
143,Shiba Inu,non-sporting group,시바 이누
144,Tibetan Spaniel,non-sporting group,티베탄 스패니얼
145,Tibetan Terrier,non-sporting group,티베탄 테리어
146,Xoloitzcuintli,non-sporting group,숄로이츠퀸틀
147,Australian Cattle Dog,herding group,오스트레일리언 캐틀 도그
148,Australian Shepherd,herding group,오스트레일리언 셰퍼드
149,Bearded Collie,herding group,비어디드 콜리
150,Beauceron,herding group,보스롱
151,Belgian Laekenois,herding group,벨지안라케노이스
152,Belgian Malinois,herding group,벨지안 말리노이즈
153,Belgian Sheepdog,herding group,벨지안 쉽독
154,Belgian Tervuren,herding group,벨지안 터뷰렌
155,Bergamasco Sheepdog,herding group,버가마스코 쉽독
156,Berger Picard,herding group,버거피카드
157,Border Collie,herding group,보더 콜리
158,Bouvier des Flandres,herding group,부비에 데 플랑드르
159,Briard,herding group,브리아드
160,Canaan Dog,herding group,케이넌 도그
161,Cardigan Welsh Corgi,corgis group,카디건 웰시코기
162,Collie,herding group,콜리
163,Entlebucher Mountain Dog,herding group,엔틀부처 마운틴 도그
164,Finnish Lapphund,herding group,피니시 라프훈트
165,German Shepherd Dog,herding group,저먼 셰퍼드
166,Icelandic Sheepdog,herding group,아이슬란딕 쉽독
167,Miniature American Shepherd,herding group,미니어처 아메리칸 셰퍼드
168,Mudi,herding group,무디
169,Norwegian Buhund,herding group,노르웨이안 부훈트
170,Old English Sheepdog,herding group,올드 잉글리시 쉽독
171,Pembroke Welsh Corgi,corgis group,펨브록 웰시 코기
172,Polish Lowland Sheepdog,herding group,폴리시 롤런드 쉽독
173,Puli,herding group,풀리
174,Pumi,herding group,푸미
175,Pyrenean Shepherd,herding group,피레니언 셰퍼드
176,Shetland Sheepdog,herding group,셰틀랜드 쉽독
177,Spanish Water Dog,herding group,스패니시 워터 도그
178,Swedish Vallhund,herding group,스위디쉬 발훈트
179,Japanese Spitz,toy group,재페니스 스피츠
180,Jindo,non-sporting group,진돗개
181,Poongsan,non-sporting group,풍산개
182,Sapsal,non-sporting group,삽살개
183,Beagle,working group,비글
